gene_name	gene_ID	transcript_ID	alteration	chromosome_37	start_37	end_37	action	link	role_in_cancer
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02483858	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (endometrial ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (melanoma)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (pancreatic ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (thyroid ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (RCC)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (breast ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02338622	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02483858	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (endometrial ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (melanoma)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (pancreatic ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT2	ENSG00000105221	ENST00000392038	Amplification	NA	NA	NA	Trial (thyroid ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (RCC)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (breast ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02338622	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02483858	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (endometrial ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (melanoma)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (pancreatic ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
AKT3	ENSG00000117020	ENST00000336199	Amplification	NA	NA	NA	Trial (thyroid ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT01828099	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02041533	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02075840	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02299505	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02767804	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT03052608	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02048488	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (cancer)	https://clinicaltrials.gov/ct2/show/NCT01742286	oncogene
ALK	ENSG00000171094	ENST00000389048	Amplification	NA	NA	NA	Trial (neuroblastoma)	https://clinicaltrials.gov/ct2/show/NCT03107988	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT01828099	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT01828112	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02041533	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02075840	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02129699	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02134015	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02264990	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02299505	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02314481	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02336451	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02395172	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02414139	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02544633	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02654587	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02657434	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02737501	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02767804	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02983045	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT03052608	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT03164616	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (RCC)	https://clinicaltrials.gov/ct2/show/NCT02983045	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT02106546	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02048488	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02568267	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (cancer)	https://clinicaltrials.gov/ct2/show/NCT01742286	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (melanoma)	https://clinicaltrials.gov/ct2/show/NCT02983045	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Trial (neuroblastoma)	https://clinicaltrials.gov/ct2/show/NCT03107988	oncogene
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (SCLC)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (cervical ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (endometrial ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (head neck SCC)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (lung ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (prostate ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATM	ENSG00000149311	ENST00000278616	Loss	NA	NA	NA	Trial (prostate ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Amplification	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Amplification	NA	NA	NA	Trial (head neck SCC)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Amplification	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Amplification	NA	NA	NA	Trial (prostate ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (SCLC)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (cervical ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (endometrial ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (head neck SCC)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (lung ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (prostate ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATR	ENSG00000175054	ENST00000350721	Loss	NA	NA	NA	Trial (prostate ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (SCLC)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (cervical ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (endometrial ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (head neck SCC)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (lung ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (prostate ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
ATRX	ENSG00000085224	ENST00000373344	Loss	NA	NA	NA	Trial (prostate ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BAP1	ENSG00000163930	ENST00000460680	Loss	NA	NA	NA	Trial (mesot)	https://clinicaltrials.gov/ct2/show/NCT02860286	tumour suppressor
BRAF	ENSG00000157764	ENST00000288602	Fusion	NA	NA	NA	Trial (glioma)	https://clinicaltrials.gov/ct2/show/NCT02124772	oncogene
BRAF	ENSG00000157764	ENST00000288602	Fusion	NA	NA	NA	Trial (neurofibroma)	https://clinicaltrials.gov/ct2/show/NCT02124772	oncogene
BRAF	ENSG00000157764	ENST00000288602	Fusion	NA	NA	NA	Trial (solid neoplasm)	https://clinicaltrials.gov/ct2/show/NCT02124772	oncogene
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02157792	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (SCLC)	https://clinicaltrials.gov/ct2/show/NCT02157792	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (SCLC)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (breast ca)	https://clinicaltrials.gov/ct2/show/NCT00966888	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (breast ca)	https://clinicaltrials.gov/ct2/show/NCT02157792	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT01482715	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02157792	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02338622	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02988817	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (cervical ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (colorectal ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (endometrial ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (fallopian tube ca)	https://clinicaltrials.gov/ct2/show/NCT02476968	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (fallopian tube ca)	https://clinicaltrials.gov/ct2/show/NCT02855944	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (fallopian tube ca)	https://clinicaltrials.gov/ct2/show/NCT03117933	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (head neck SCC)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (lung ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02476968	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02797964	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02855944	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT02988817	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT03117933	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (ovarian ca)	https://clinicaltrials.gov/ct2/show/NCT03188965	tumour suppressor
BRCA1	ENSG00000012048	ENST00000357654	Large Deletion	NA	NA	NA	Trial (prim peritoneal ca)	https://clinicaltrials.gov/ct2/show/NCT02476968	tumour suppressor
